Numero de mesure;Longitude;Latitude;Position;Insee;Adresse;Complement;Code postal;Commune;Date de mesure;Mesure realisee;Rapport;Conformite de la mesure;Niveau global;Type d'environnement;Laboratoire
11186;3.82778;43.61361;03e 49' 40.00'' Est, 43e 36' 49.00'' Nord;34172;Square Louis Carles;Entre les deux bancs, devant l'�cole maternelle Pape Carpantier;34080;MONTPELLIER;18/04/2007;En exterieur;FicheMesure11186.pdf;Oui;2.47;Rue / Route / Parking;CSTB - Saint Martin d'Heres
11187;3.82944;43.61139;03e 49' 46.00'' Est, 43e 36' 41.00'' Nord;34172;2 Allee des Grezes - Residence Les Oliviers;Devant le banc, au milieu de la cour de la residence.;34080;MONTPELLIER;18/04/2007;En exterieur;FicheMesure11187.pdf;Oui;2.80;Rue / Route / Parking;CSTB - Saint Martin d'Heres
11188;3.82972;43.61194;03e 49' 47.00'' Est, 43e 36' 43.00'' Nord;34172;Rue de la Croix;"A cete de la croix, derriere la residence ""Les Oliviers"", rue de la Croix.";34080;MONTPELLIER;07/03/2007;En exterieur;FicheMesure11188.pdf;Oui;0.73;Rue / Route / Parking;CSTB - Saint Martin d'Heres
11664;3.88556;43.58306;03e 53' 08.00'' Est, 43e 34' 59.00'' Nord;34172;746 Avenue du Marche de la Gare;sur le parking, e l'angle de la maison cete salon de Mme Gimenez;34070;MONTPELLIER;26/07/2007;En exterieur;FicheMesure11664.pdf;Oui;0.69;Rue / Route / Parking;AEXPERTISE
11813;3.85528;43.62222;03e 51' 19.00'' Est, 43e 37' 20.00'' Nord;34172;Avenue du pere Soulas;"Sur le parking, derriere le betiment E de la residence ""le Cervantes""";34000;MONTPELLIER;01/08/2007;En exterieur;FicheMesure11813.pdf;Oui;0.49;Rue / Route / Parking;CSTB - Saint Martin d'Heres
11814;3.85556;43.62306;03e 51' 20.00'' Est, 43e 37' 23.00'' Nord;34172;1146 Avenue du pere Soulas;A l'entree du parking visiteur de l'institut de formation des ecoles;34000;MONTPELLIER;01/08/2007;En exterieur;FicheMesure11814.pdf;Oui;0.00;Rue / Route / Parking;CSTB - Saint Martin d'Heres
12512;4.10139;43.56472;04e 06' 05.00'' Est, 43e 33' 53.00'' Nord;34344;382 Rue Saint Louis;Les mesures ont ete effectuees au niveau de la terrasse exterieure de l'appartement de M. THIBAULT;34280;LA GRANDE-MOTTE;07/01/2008;En exterieur;FicheMesure12512.pdf;Oui;1.43;Divers;APAVE Sudeurope (CETE) Tassin la Demi-Lune
12592;3.88389;43.63528;03e 53' 02.00'' Est, 43e 38' 07.00'' Nord;34172;674 Rue Valery LARBAUD;Devant la VILLA EMILE;34090;MONTPELLIER;14/01/2008;En exterieur;FicheMesure12592.pdf;Oui;1.92;Rue / Route / Parking;EMITECH Chassieu
12773;3.88444;43.60750;03e 53' 04.00'' Est, 43e 36' 27.00'' Nord;34172;11bis Rue Bayard;Devant le ne 11 bis de la rue Bayard;34000;MONTPELLIER;22/01/2008;En exterieur;FicheMesure12773.pdf;Oui;0.00;Rue / Route / Parking;AEXPERTISE
12778;3.88667;43.60861;03e 53' 12.00'' Est, 43e 36' 31.00'' Nord;34172;Place Paul Bec;Place Paul Bec, devant la statue d'Apollon;34000;MONTPELLIER;22/01/2008;En exterieur;FicheMesure12778.pdf;Oui;0.35;Rue / Route / Parking;AEXPERTISE
