Numero de mesure;Longitude;Latitude;Position;Insee;Adresse;Complement;Code postal;Commune;Date de mesure;Mesure realisee;Rapport;Conformite de la mesure;Niveau global;Type d'environnement;Laboratoire
19444;3.21556;43.34472;03e 12' 56.00'' Est, 43e 20' 41.00'' Nord;34032;Place de la Victoire;Devant le Th��tre;34500;BEZIERS;11/01/2010;En exterieur;FicheMesure19444.pdf;Oui;0.41;Rue / Route / Parking;AEXPERTISE
19591;3.85167;43.61250;03e 51' 06.00'' Est, 43e 36' 45.00'' Nord;34172;11 Rue des Coronilles;Appartement ne77 - Terrasse;34070;MONTPELLIER;20/11/2009;En exterieur;FicheMesure19591.pdf;Oui;0.89;Divers;EMITECH Chassieu
19676;3.50556;43.64861;03e 30' 20.00'' Est, 43e 38' 55.00'' Nord;34239;Rue du couvent;devant l'Ecole privee Jeanne d'arc;34725;SAINT-ANDRE-DE-SANGONIS;27/01/2010;En exterieur;FicheMesure19676.pdf;Oui;0.00;Rue / Route / Parking;AEXPERTISE
19680;3.50444;43.65194;03e 30' 16.00'' Est, 43e 39' 07.00'' Nord;34239;Cours de la libert�;Ecole primaire Randon, dans la cour, devant la classe E;34725;SAINT-ANDRE-DE-SANGONIS;27/01/2010;En exterieur;FicheMesure19680.pdf;Oui;0.52;Rue / Route / Parking;AEXPERTISE
19905;3.68444;43.40222;03e 41' 04.00'' Est, 43e 24' 08.00'' Nord;34301;1321 Chemin de Saint-Clair;Terrasse panoramique, au niveau de l'escalier, e l'angle situe cete chapelle (nord-ouest);34200;SETE;09/02/2010;En exterieur;FicheMesure19905.pdf;Oui;9.05;Divers;AEXPERTISE
20067;3.40944;43.46028;03e 24' 34.00'' Est, 43e 27' 37.00'' Nord;34199;Carrefour Marcel Paul;Devant le Centre de Secours Lieutenant Rene Peyre;34120;PEZENAS;23/02/2010;En exterieur;FicheMesure20067.pdf;Oui;0.70;Rue / Route / Parking;AEXPERTISE
20230;3.25472;43.29278;03e 15' 17.00'' Est, 43e 17' 34.00'' Nord;34298;11 Avenue du Stade;Institut Medico-Educatif Les Hirondelles, sur le parking, devant le futur betiment Administration;34410;SAUVIAN;18/03/2010;En exterieur;FicheMesure20230.pdf;Oui;0.75;Rue / Route / Parking;AEXPERTISE
20537;3.20556;43.32667;03e 12' 20.00'' Est, 43e 19' 36.00'' Nord;34032;Impasse Henri Clouzot;en face du ne2 de l'impasse Henri Clouzot;34500;BEZIERS;14/04/2010;En exterieur;FicheMesure20537.pdf;Oui;1.50;Rue / Route / Parking;AEXPERTISE
20585;3.83833;43.56333;03e 50' 18.00'' Est, 43e 33' 48.00'' Nord;34270;Rue Saint Exupery;Z.I. La Lauze, Unibeton, sur la passerelle de la tour de la centrale e beton, derriere l'antenne cete sud-est;34430;SAINT-JEAN-DE-VEDAS;15/04/2010;En exterieur;FicheMesure20585.pdf;Oui;2.69;Divers;AEXPERTISE
20586;3.83083;43.58361;03e 49' 51.00'' Est, 43e 35' 01.00'' Nord;34270;Chemin des Oliviers;Sur l'aire de jeux pour enfants, e cete de la table, entre les deux balaneoires;34430;SAINT-JEAN-DE-VEDAS;15/04/2010;En exterieur;FicheMesure20586.pdf;Oui;1.96;Divers;AEXPERTISE
20647;3.83750;43.60556;03e 50' 15.00'' Est, 43e 36' 20.00'' Nord;34172;Rue Viollet Le Duc;Ecole Elementaire SPINOZA - Plateau d'�volution;34000;MONTPELLIER;24/03/2010;En exterieur;FicheMesure20647.pdf;Oui;1.61;Rue / Route / Parking;EMITECH Chassieu
20649;3.91917;43.58750;03e 55' 09.00'' Est, 43e 35' 15.00'' Nord;34129;Rue du Mas de Portal;Parking face aux maisons numero 5 et 7;34970;LATTES;24/03/2010;En exterieur;FicheMesure20649.pdf;Oui;0.68;Rue / Route / Parking;EMITECH Chassieu
20668;3.95944;43.57917;03e 57' 34.00'' Est, 43e 34' 45.00'' Nord;34154;Aeroport de MONTPELLIER Mediterrannee;Aeroport MONTPELLIER - Secteur C - 1er etage - PIF Ne2;34137;MAUGUIO;18/03/2010;En exterieur;FicheMesure20668.pdf;Oui;0.00;Divers;EMITECH Chassieu
20673;3.08639;43.58972;03e 05' 11.00'' Est, 43e 35' 23.00'' Nord;34126;Lotissement Bois de Coubillou;Lotissement Bois de Coubillou - devant la maison num10;34240;LAMALOU-LES-BAINS;18/03/2010;En exterieur;FicheMesure20673.pdf;Oui;0.51;Rue / Route / Parking;EMITECH Chassieu
21095;4.02000;43.73028;04e 01' 12.00'' Est, 43e 43' 49.00'' Nord;34027;Rue de la cooperative;A l'angle du ne12 de la rue de la cooperative;34160;BEAULIEU;22/06/2010;En exterieur;FicheMesure21095.pdf;Oui;0.96;Rue / Route / Parking;AEXPERTISE
21184;3.84250;43.56056;03e 50' 33.00'' Est, 43e 33' 38.00'' Nord;34270;170 Rue Henri Farman;Devant l'entree de SPIE;34430;SAINT-JEAN-DE-VEDAS;29/06/2010;En exterieur;FicheMesure21184.pdf;Oui;1.14;Rue / Route / Parking;AEXPERTISE
21185;3.83917;43.58167;03e 50' 21.00'' Est, 43e 34' 54.00'' Nord;34270;Allee du Terral;Stade Etienne VIDAL, le long du cete est du terrain en herbe, au milieu;34430;SAINT-JEAN-DE-VEDAS;30/06/2010;En exterieur;FicheMesure21185.pdf;Oui;1.59;Divers;AEXPERTISE
21186;3.84722;43.57167;03e 50' 50.00'' Est, 43e 34' 18.00'' Nord;34270;Avenue de la Condamine;Centre Commercial Carrefour, devant l'entree principale, cete sud-ouest du betiment;34430;SAINT-JEAN-DE-VEDAS;29/06/2010;En exterieur;FicheMesure21186.pdf;Oui;2.26;Rue / Route / Parking;AEXPERTISE
21187;3.82889;43.56806;03e 49' 44.00'' Est, 43e 34' 05.00'' Nord;34270;1 Rue du Brucq;devant le ne 1;34430;SAINT-JEAN-DE-VEDAS;30/06/2010;En exterieur;FicheMesure21187.pdf;Oui;1.81;Rue / Route / Parking;AEXPERTISE
21188;3.83111;43.57806;03e 49' 52.00'' Est, 43e 34' 41.00'' Nord;34270;16 Rue Fon de l'Hospital;en face du ne16 ter;34430;SAINT-JEAN-DE-VEDAS;29/06/2010;En exterieur;FicheMesure21188.pdf;Oui;0.91;Rue / Route / Parking;AEXPERTISE
21200;3.50028;43.65306;03e 30' 01.00'' Est, 43e 39' 11.00'' Nord;34239;Rue Pierre de Coubertin;Residence de retraite Yves Couzy, sur le parking;34725;SAINT-ANDRE-DE-SANGONIS;27/01/2010;En exterieur;FicheMesure21200.pdf;Oui;1.00;Rue / Route / Parking;AEXPERTISE
21541;3.51944;43.28278;03e 31' 10.00'' Est, 43e 16' 58.00'' Nord;34003;Place du Mele;En face de la pizzeria Chez le Libanais, e cete du banc;34300;AGDE;26/08/2010;En exterieur;FicheMesure21541.pdf;Oui;3.34;Rue / Route / Parking;AEXPERTISE
21602;3.23417;43.35583;03e 14' 03.00'' Est, 43e 21' 21.00'' Nord;34032;Boulevard du Languedoc;�cole elementaire Pasteur, sur le terrain de basket-ball, devant l'entree II;34500;BEZIERS;06/09/2010;En exterieur;FicheMesure21602.pdf;Oui;1.21;Rue / Route / Parking;AEXPERTISE
21605;3.22889;43.34472;03e 13' 44.00'' Est, 43e 20' 41.00'' Nord;34032;Rue du Docteur Charcot;A l'intersection de la rue du Docteur Charcot et de la rue du Docteur Roux;34500;BEZIERS;06/09/2010;En exterieur;FicheMesure21605.pdf;Oui;2.44;Rue / Route / Parking;AEXPERTISE
21606;3.25306;43.33694;03e 15' 11.00'' Est, 43e 20' 13.00'' Nord;34032;Rue Jacques Balmat;Devant l'entree de l'Ecole maternelle Les Oliviers;34500;BEZIERS;06/09/2010;En exterieur;FicheMesure21606.pdf;Oui;0.73;Rue / Route / Parking;AEXPERTISE
22069;3.71472;43.93528;03e 42' 53.00'' Est, 43e 56' 07.00'' Nord;34111;40 Rue du Tirondel;Chez M. TRAVIER, devant le barbecue;34190;GANGES;23/11/2010;En exterieur;FicheMesure22069.pdf;Oui;0.81;Divers;AEXPERTISE
22361;3.19722;43.33694;03e 11' 50.00'' Est, 43e 20' 13.00'' Nord;34032;55 Avenue Pierre de Coubertin;� cete du poteau face au court de tennis sur le terrain ne6;34500;BEZIERS;18/05/2010;En exterieur;FicheMesure22361.pdf;Oui;1.08;Divers;EMITECH Chassieu
22362;3.25361;43.34472;03e 15' 13.00'' Est, 43e 20' 41.00'' Nord;34032;Rue Raoul Bayou;aire de jeux centre aere Saint Andr�;34500;BEZIERS;20/05/2010;En exterieur;FicheMesure22362.pdf;Oui;0.00;Divers;EMITECH Chassieu
22363;3.23250;43.33611;03e 13' 57.00'' Est, 43e 20' 10.00'' Nord;34032;31-33 Rue Louis Carayon;Mesure au 33 rue Louis Carayon;34500;BEZIERS;18/05/2010;En exterieur;FicheMesure22363.pdf;Oui;1.45;Rue / Route / Parking;EMITECH Chassieu
22446;3.23194;43.35139;03e 13' 55.00'' Est, 43e 21' 05.00'' Nord;34032;Rue Ferdinand De Lesseps;Espace Jean Moulin, e l'angle du betiment, cete entree parking;34500;BEZIERS;27/01/2011;En exterieur;FicheMesure22446.pdf;Oui;0.45;Rue / Route / Parking;AEXPERTISE
22460;3.22500;43.46556;03e 13' 30.00'' Est, 43e 27' 56.00'' Nord;34147;Rue de l'Egalit�;A l'intersection entre l'impasse du Bois de Nine et la rue de l'Egalit�;34480;MAGALAS;01/02/2011;En exterieur;FicheMesure22460.pdf;Oui;0.34;Rue / Route / Parking;AEXPERTISE
22555;3.22667;43.33750;03e 13' 36.00'' Est, 43e 20' 15.00'' Nord;34032;Rue Franeois Feynes;Sur l'aire de jeux Herriot, en contrebas de la cour de l'�cole Herriot;34500;BEZIERS;10/02/2011;En exterieur;FicheMesure22555.pdf;Oui;0.35;Rue / Route / Parking;AEXPERTISE
22804;3.69639;43.39917;03e 41' 47.00'' Est, 43e 23' 57.00'' Nord;34301;Grand'rue Mario Roustan;Square Sissi Abellan, devant l'entree du ne75 bis;34200;SETE;28/03/2011;En exterieur;FicheMesure22804.pdf;Oui;0.62;Rue / Route / Parking;AEXPERTISE
22865;3.30306;43.43278;03e 18' 11.00'' Est, 43e 25' 58.00'' Nord;34300;Avenue d'Abeilhan;A l'intersection entre l'avenue de la Pinede et l'avenue d'Abeilhan;34290;SERVIAN;06/04/2011;En exterieur;FicheMesure22865.pdf;Oui;0.73;Rue / Route / Parking;AEXPERTISE
22895;3.21333;43.34278;03e 12' 48.00'' Est, 43e 20' 34.00'' Nord;34032;Place Gabriel Peri;Hetel de Ville, 1er etage, sur le balcon de la salle Beffroi;34500;BEZIERS;04/04/2011;En exterieur;FicheMesure22895.pdf;Oui;0.00;Divers;AEXPERTISE
22934;3.92444;43.68306;03e 55' 28.00'' Est, 43e 40' 59.00'' Nord;34309;Rue de l'Eglise;Sur la place, en face de l'entree de l'Eglise;34820;TEYRAN;11/04/2011;En exterieur;FicheMesure22934.pdf;Oui;0.43;Rue / Route / Parking;AEXPERTISE
22976;3.13889;43.31472;03e 08' 20.00'' Est, 43e 18' 53.00'' Nord;34081;Place du Presbytere;Devant le ne2 de la place du Presbytere;34440;COLOMBIERS;11/04/2011;En exterieur;FicheMesure22976.pdf;Oui;2.17;Rue / Route / Parking;AEXPERTISE
23085;3.88417;43.61472;03e 53' 03.00'' Est, 43e 36' 53.00'' Nord;34172;8 Avenue de Saint Maur;Residence Le Verdanson, devant le betiment A, cete parking;34000;MONTPELLIER;04/05/2011;En exterieur;FicheMesure23085.pdf;Oui;1.21;Rue / Route / Parking;AEXPERTISE
23142;3.23083;43.35056;03e 13' 51.00'' Est, 43e 21' 02.00'' Nord;34032;4 Rue Ferdinand de Lesseps;Villa Matisse, 3eme etage, Appartement 403, Mme RUIZ, sur le balcon de la chambre 2;34500;BEZIERS;16/05/2011;En exterieur;FicheMesure23142.pdf;Oui;0.36;Divers;AEXPERTISE
23311;3.92722;43.68278;03e 55' 38.00'' Est, 43e 40' 58.00'' Nord;34309;Place de l?Europe;Devant la Cantine de l'�cole primaire Jules Ferry;34820;TEYRAN;07/06/2011;En exterieur;FicheMesure23311.pdf;Oui;0.36;Rue / Route / Parking;AEXPERTISE
23465;3.48722;43.30417;03e 29' 14.00'' Est, 43e 18' 15.00'' Nord;34003;Avenue du Grand Large;En face du Cabinet medical du Grand Large;34300;AGDE;11/07/2011;En exterieur;FicheMesure23465.pdf;Oui;2.27;Rue / Route / Parking;AEXPERTISE
23477;3.93278;43.64806;03e 55' 58.00'' Est, 43e 38' 53.00'' Nord;34090;Voie Domitienne;Stade Municipal, entre les bancs des remplacants;34920;LE CRES;04/07/2011;En exterieur;FicheMesure23477.pdf;Oui;0.84;Divers;AEXPERTISE
23504;3.86778;43.69556;03e 52' 04.00'' Est, 43e 41' 44.00'' Nord;34217;Rue du Cheteau d'eau;Entre le cheteau d'eau et le pylene Bouygues Telecom;34730;PRADES-LE-LEZ;04/07/2011;En exterieur;FicheMesure23504.pdf;Oui;1.30;Rue / Route / Parking;AEXPERTISE
23696;3.21222;43.34194;03e 12' 44.00'' Est, 43e 20' 31.00'' Nord;34032;1 Impasse de la Notairie;Mme GAReON, 4eme etage, sur la terrasse haute;34500;BEZIERS;28/07/2011;En exterieur;FicheMesure23696.pdf;Oui;4.35;Divers;AEXPERTISE
23936;3.88306;43.60889;03e 52' 59.00'' Est, 43e 36' 32.00'' Nord;34172;52 Allee Jules Milhau;Residence Le Triangle, 14eme etage, chez M. CAUMETTE, sur la terrasse de la chambre situee e l'�tage du duplex;34000;MONTPELLIER;05/04/2011;En exterieur;FicheMesure23936.pdf;Oui;1.23;Divers;AEXPERTISE
24187;3.19611;43.33583;03e 11' 46.00'' Est, 43e 20' 09.00'' Nord;34032;Avenue Pierre de Coubertin;Complexe sportif de la Presidente, entre le terrain ne4 et le terrain principal, cete voie ferree;34500;BEZIERS;13/10/2011;En exterieur;FicheMesure24187.pdf;Oui;1.81;Rue / Route / Parking;AEXPERTISE
24221;3.22889;43.34472;03e 13' 44.00'' Est, 43e 20' 41.00'' Nord;34032;Rue du Docteur Charcot;A l'intersection avec la rue du Docteur Roux;34500;BEZIERS;12/10/2011;En exterieur;FicheMesure24221.pdf;Oui;2.41;Rue / Route / Parking;AEXPERTISE
24222;3.24833;43.34778;03e 14' 54.00'' Est, 43e 20' 52.00'' Nord;34032;Rue Gerard Philipe;Devant l'entree du Forum;34500;BEZIERS;12/10/2011;En exterieur;FicheMesure24222.pdf;Oui;1.75;Rue / Route / Parking;AEXPERTISE
24223;3.23472;43.33556;03e 14' 05.00'' Est, 43e 20' 08.00'' Nord;34032;Rue Louis Carayon;Devant le ne8 rue Louis Carayon;34500;BEZIERS;12/10/2011;En exterieur;FicheMesure24223.pdf;Oui;1.16;Rue / Route / Parking;AEXPERTISE
24260;3.98083;43.73361;03e 58' 51.00'' Est, 43e 44' 01.00'' Nord;34249;Rue du Parc;Parc Municipal, devant la buvette;34160;SAINT-DREZERY;24/10/2011;En exterieur;FicheMesure24260.pdf;Oui;0.56;Divers;AEXPERTISE
24355;3.20556;43.32667;03e 12' 20.00'' Est, 43e 19' 36.00'' Nord;34032;2 Impasse Henri Clouzot;En face du ne2 de l'impasse Henri Clouzot;34500;BEZIERS;25/10/2011;En exterieur;FicheMesure24355.pdf;Oui;1.77;Rue / Route / Parking;AEXPERTISE
24357;3.20778;43.35000;03e 12' 28.00'' Est, 43e 21' 00.00'' Nord;34032;28 Rue de l'Etourneau;Devant le ne28 de la rue de l'Etourneau;34500;BEZIERS;25/10/2011;En exterieur;FicheMesure24357.pdf;Oui;1.64;Rue / Route / Parking;AEXPERTISE
24395;3.21750;43.34139;03e 13' 03.00'' Est, 43e 20' 29.00'' Nord;34032;Allee Allees Paul Riquet;En face de la Pharmacie des Allees;34500;BEZIERS;26/10/2011;En exterieur;FicheMesure24395.pdf;Oui;1.51;Rue / Route / Parking;AEXPERTISE
24397;3.22167;43.35028;03e 13' 18.00'' Est, 43e 21' 01.00'' Nord;34032;Rue Antoine Condorcet;En face du ne6 de la rue Antoine Condorcet;34500;BEZIERS;26/10/2011;En exterieur;FicheMesure24397.pdf;Oui;1.33;Rue / Route / Parking;AEXPERTISE
24402;3.21806;43.34778;03e 13' 05.00'' Est, 43e 20' 52.00'' Nord;34032;Rue d'Arcole;Devant le ne13 rue d'Arcole;34500;BEZIERS;26/10/2011;En exterieur;FicheMesure24402.pdf;Oui;1.37;Rue / Route / Parking;AEXPERTISE
24403;3.22722;43.35278;03e 13' 38.00'' Est, 43e 21' 10.00'' Nord;34032;Rue du Rouat;Dans le parc situe au sud-ouest du square du Rouat;34500;BEZIERS;25/10/2011;En exterieur;FicheMesure24403.pdf;Oui;1.01;Divers;AEXPERTISE
24750;3.50944;43.29139;03e 30' 34.00'' Est, 43e 17' 29.00'' Nord;34003;Avenue de la Vigne;Les Maisons du Cap, en face du ne5;34300;AGDE;07/12/2011;En exterieur;FicheMesure24750.pdf;Oui;1.00;Rue / Route / Parking;AEXPERTISE
24886;3.97500;43.54306;03e 58' 30.00'' Est, 43e 32' 35.00'' Nord;34154;Place Cassan;En face de la residence Le Viking;34130;MAUGUIO;24/01/2012;En exterieur;FicheMesure24886.pdf;Oui;1.75;Rue / Route / Parking;AEXPERTISE
24944;3.20556;43.32667;03e 12' 20.00'' Est, 43e 19' 36.00'' Nord;34032;Impasse Henri Clouzot;En face du ne2;34500;BEZIERS;31/01/2012;En exterieur;FicheMesure24944.pdf;Oui;1.67;Rue / Route / Parking;AEXPERTISE
24992;3.83472;43.59972;03e 50' 05.00'' Est, 43e 35' 59.00'' Nord;34172;120 Rue du Mas de Prunet;Centre Bourneville ADAGES, entre le betiment ecole et la rue des Bouisses;34000;MONTPELLIER;23/01/2012;En exterieur;FicheMesure24992.pdf;Oui;1.06;Divers;AEXPERTISE
25104;3.69889;43.40389;03e 41' 56.00'' Est, 43e 24' 14.00'' Nord;34301;20 Rue Maurice Clavel;Residence Le Chai Saint-Louis, betiment B, au 4eme etage, Appartement 244, chez Mme OTTI�, sur la terrasse, devant la cuisine;34200;SETE;23/01/2012;En exterieur;FicheMesure25104.pdf;Oui;1.84;Divers;AEXPERTISE
25117;3.27056;43.52250;03e 16' 14.00'' Est, 43e 31' 21.00'' Nord;34109;Chemin de Mont Counil;Chez M. CORBIERE, sur le chemin, e 20 metres au sud-est du pylene;34320;GABIAN;05/12/2011;En exterieur;FicheMesure25117.pdf;Oui;1.85;Divers;AEXPERTISE
25120;3.84750;43.62278;03e 50' 51.00'' Est, 43e 37' 22.00'' Nord;34172;Rue de Casseyrols;Devant la residence l'Hermitage (ne316), e l'angle sud du betiment A.;34000;MONTPELLIER;26/01/2012;En exterieur;FicheMesure25120.pdf;Oui;1.09;Rue / Route / Parking;AEXPERTISE
25163;3.76111;43.44167;03e 45' 40.00'' Est, 43e 26' 30.00'' Nord;34108;Avenue 81eme Regiment d'Infanterie;Stade Lucien Jean, devant le Club House;34110;FRONTIGNAN;27/02/2012;En exterieur;FicheMesure25163.pdf;Oui;0.66;Rue / Route / Parking;AEXPERTISE
25164;3.72000;43.94111;03e 43' 12.00'' Est, 43e 56' 28.00'' Nord;34111;27 Rue du Cers;Devant le ne27 rue du Cers;34190;GANGES;30/11/2011;En exterieur;FicheMesure25164.pdf;Oui;0.50;Rue / Route / Parking;AEXPERTISE
25165;3.77750;43.43389;03e 46' 39.00'' Est, 43e 26' 02.00'' Nord;34108;Avenue de Lesseps;Port de Plaisance, devant la residence La Galiote;34110;FRONTIGNAN;29/02/2012;En exterieur;FicheMesure25165.pdf;Oui;1.04;Rue / Route / Parking;AEXPERTISE
25166;3.75694;43.45028;03e 45' 25.00'' Est, 43e 27' 01.00'' Nord;34108;11bis Avenue des Jardiniers;Devant le ne11 bis;34110;FRONTIGNAN;27/02/2012;En exterieur;FicheMesure25166.pdf;Oui;0.64;Rue / Route / Parking;AEXPERTISE
25167;3.79167;43.44083;03e 47' 30.00'' Est, 43e 26' 27.00'' Nord;34108;163 Avenue Ferdinand de Lesseps;Devant le ne163;34110;FRONTIGNAN;27/02/2012;En exterieur;FicheMesure25167.pdf;Oui;1.62;Rue / Route / Parking;AEXPERTISE
25168;3.72694;43.43111;03e 43' 37.00'' Est, 43e 25' 52.00'' Nord;34108;Chemin du Mas de Chave;En face de l'entree du lotissement Le CLos des Oliviers;34110;FRONTIGNAN;29/02/2012;En exterieur;FicheMesure25168.pdf;Oui;1.95;Rue / Route / Parking;AEXPERTISE
25169;3.74556;43.45139;03e 44' 44.00'' Est, 43e 27' 05.00'' Nord;34108;24 Rue des Collines;devant le ne 24;34110;FRONTIGNAN;28/02/2012;En exterieur;FicheMesure25169.pdf;Oui;1.64;Rue / Route / Parking;AEXPERTISE
25170;3.75000;43.45389;03e 45' 00.00'' Est, 43e 27' 14.00'' Nord;34108;14 Impasse des Pinsons;devant le ne14, au niveau de l'intersection avec la rue Maurice Clavel;34110;FRONTIGNAN;28/02/2012;En exterieur;FicheMesure25170.pdf;Oui;1.40;Rue / Route / Parking;AEXPERTISE
25171;3.74556;43.44306;03e 44' 44.00'' Est, 43e 26' 35.00'' Nord;34108;22 Rue du Grenache;en face du ne22;34110;FRONTIGNAN;28/02/2012;En exterieur;FicheMesure25171.pdf;Oui;1.24;Rue / Route / Parking;AEXPERTISE
25172;3.72639;43.42750;03e 43' 35.00'' Est, 43e 25' 39.00'' Nord;34108;22 Route de Balaruc;au niveau du ne22, devant le parvis de l'�glise;34110;FRONTIGNAN;29/02/2012;En exterieur;FicheMesure25172.pdf;Oui;1.68;Rue / Route / Parking;AEXPERTISE
25200;3.69917;43.40833;03e 41' 57.00'' Est, 43e 24' 30.00'' Nord;34301;20 Impasse Gaffinel;Devant l'entree du College Victor Hugo (ne20);34200;SETE;24/02/2012;En exterieur;FicheMesure25200.pdf;Oui;0.00;Rue / Route / Parking;AEXPERTISE
25570;4.03806;43.64778;04e 02' 17.00'' Est, 43e 38' 52.00'' Nord;34176;Rue des Carrierettes;Ecole Maxime Evdokimoff, dans la cour, au niveau de la 3eme porte de garage;34130;MUDAISON;25/04/2012;En exterieur;FicheMesure25570.pdf;Oui;0.72;Rue / Route / Parking;AEXPERTISE
25616;3.22583;43.26944;03e 13' 33.00'' Est, 43e 16' 10.00'' Nord;34329;Avenue Bel Air;Les Terrasses de l'Eglise, au pied du clocher;34350;VENDRES;16/05/2012;En exterieur;FicheMesure25616.pdf;Oui;0.17;Rue / Route / Parking;AEXPERTISE
25645;3.67889;43.39417;03e 40' 44.00'' Est, 43e 23' 39.00'' Nord;34301;Promenade Marechal Leclerc;Devant le ne1432, au niveau du terrain de petanque;34200;SETE;15/05/2012;En exterieur;FicheMesure25645.pdf;Oui;1.82;Rue / Route / Parking;AEXPERTISE
25649;3.34389;43.46750;03e 20' 38.00'' Est, 43e 28' 03.00'' Nord;34009;27 Rue de la Guissaume;Cave Cooperative d'Alignan-du-Vent, sur le toit-terrasse, e l'angle est, devant la cuve blanche;34290;ALIGNAN-DU-VENT;16/05/2012;En exterieur;FicheMesure25649.pdf;Oui;1.73;Divers;AEXPERTISE
25657;3.90556;43.61056;03e 54' 20.00'' Est, 43e 36' 38.00'' Nord;34172;Rue des Freres Lumiere;Etap Hetel, dans le parking, sur la place PMR ouest (site eteint) ;34000;MONTPELLIER;14/05/2012;En exterieur;FicheMesure25657.pdf;Oui;0.00;Rue / Route / Parking;AEXPERTISE
25658;3.90556;43.61056;03e 54' 20.00'' Est, 43e 36' 38.00'' Nord;34172;Rue des Freres Lumiere;Etap Hetel, dans le parking, sur la place PMR ouest (site allum�);34000;MONTPELLIER;14/05/2012;En exterieur;FicheMesure25658.pdf;Oui;0.59;Rue / Route / Parking;AEXPERTISE
25662;3.23111;43.35056;03e 13' 52.00'' Est, 43e 21' 02.00'' Nord;34032;4 Rue Ferdinand de Lesseps;Villa Matisse, au 3eme etage, appartement 404, M. PETTGEN, sur la terrasse;34500;BEZIERS;30/05/2012;En exterieur;FicheMesure25662.pdf;Oui;4.48;Divers;AEXPERTISE
25679;3.85444;43.53917;03e 51' 16.00'' Est, 43e 32' 21.00'' Nord;34337;Route Departementale 185;Cheteau d'eau, niveau reservoir, devant l?�chelle d'acces au toit;34750;VILLENEUVE-LES-MAGUELONE;15/05/2012;En exterieur;FicheMesure25679.pdf;Oui;1.19;Locaux professionnels non accessibles au public;AEXPERTISE
25691;3.92917;43.68250;03e 55' 45.00'' Est, 43e 40' 57.00'' Nord;34309;4 Rue du Cheteau d'Eau;devant le ne4 ( M. BRUN );34820;TEYRAN;24/04/2012;En exterieur;FicheMesure25691.pdf;Oui;2.04;Rue / Route / Parking;AEXPERTISE
25777;3.44000;43.28806;03e 26' 24.00'' Est, 43e 17' 17.00'' Nord;34003;4 Rue du Commandant Malet;Camping de la Tamarissiere, sur l'emplacement ne132;34300;AGDE;19/06/2012;En exterieur;FicheMesure25777.pdf;Oui;0.66;Divers;AEXPERTISE
25905;3.21972;43.36333;03e 13' 11.00'' Est, 43e 21' 48.00'' Nord;34032;1 Rue Andre Chamson;Devant le ne1;34500;BEZIERS;18/06/2012;En exterieur;FicheMesure25905.pdf;Oui;1.03;Rue / Route / Parking;AEXPERTISE
25907;3.21472;43.35389;03e 12' 53.00'' Est, 43e 21' 14.00'' Nord;34032;1 Rue de la Clairette;En face du ne1;34500;BEZIERS;18/06/2012;En exterieur;FicheMesure25907.pdf;Oui;0.57;Rue / Route / Parking;AEXPERTISE
25908;3.25194;43.35222;03e 15' 07.00'' Est, 43e 21' 08.00'' Nord;34032;Rue de l'Industrie;Magasin BUT, sur le parking, au niveau Reception marchandises;34500;BEZIERS;18/06/2012;En exterieur;FicheMesure25908.pdf;Oui;1.95;Rue / Route / Parking;AEXPERTISE
25916;3.90528;43.66250;03e 54' 19.00'' Est, 43e 39' 45.00'' Nord;34120;7 Rue des Bordes;Chez M. JALABERT, dans le jardin;34830;JACOU;21/06/2012;En exterieur;FicheMesure25916.pdf;Oui;0.66;Divers;AEXPERTISE
25936;3.90694;43.56722;03e 54' 25.00'' Est, 43e 34' 02.00'' Nord;34129;Route de Perols - Les Arenes;Les Arenes, devant l'entree;34970;LATTES;20/06/2012;En exterieur;FicheMesure25936.pdf;Oui;1.03;Rue / Route / Parking;AEXPERTISE
26318;3.92917;43.68250;03e 55' 45.00'' Est, 43e 40' 57.00'' Nord;34309;4 Rue du Cheteau d'Eau;Devant le ne4 (M. BRUN);34820;TEYRAN;29/08/2012;En exterieur;FicheMesure26318.pdf;Oui;1.73;Rue / Route / Parking;AEXPERTISE
26336;3.68611;43.40139;03e 41' 10.00'' Est, 43e 24' 05.00'' Nord;34301;1168 Chemin de Saint Clair;Sur la terrasse dallee du domicile de Mr et Mme MACE ,� proximite du barbecue;34200;SETE;13/12/2011;En exterieur;FicheMesure26336.pdf;Oui;3.14;Divers;APAVE Sudeurope (CETE) Tassin la Demi-Lune
101621;3.89569;43.59303;03e 53' 44.50'' Est, 43e 35' 34.90'' Nord;34172;Rue de Saint-Hilaire;;34000;MONTPELLIER;16/07/2013;En exterieur;Rapport public BM041306-R.pdf;Oui;1.41;Rue / Route / Parking;AEXPERTISE
101622;3.88133;43.59711;03e 52' 52.80'' Est, 43e 35' 49.60'' Nord;34172;Rue des Marronniers;;34000;MONTPELLIER;16/07/2013;En exterieur;Rapport public BM041307-R.pdf;Oui;0.52;Rue / Route / Parking;AEXPERTISE
101739;3.48486;43.48058;03e 29' 05.50'' Est, 43e 28' 50.10'' Nord;34162;Avenue Pierre Azema;;34530;MONTAGNAC;15/07/2013;En exterieur;Rapport public OS061301-R.pdf;Oui;0.39;Rue / Route / Parking;AEXPERTISE
